Number	TP	Status	TN	TN.TP	Chl.a	pH	Secchi.Depth	Temperature	Latitude	Longitude	Cyanobacteria	Anabaena	Microcystis	MicrocystisDicot
12	24	Mesotrophic	440	11.0	12.0	8.0	2.2	20.4	61.01	22.12	0.048	0.003	0.0	No
54	20	Mesotrophic	840	42.0	18.0	6.9	1.2	18.8	61.46	23.02	0.2184	0.058	0.0	No
15	8	Oligotrophic	370	46.3	3.2	7.0	5.3	18.5	61.03	23.15	0.0165	0.002	0.0	No
23	67	Eutrophic	990	14.8	36.0	7.4	0.4	19.4	61.24	23.19	0.0718	0.0	0.0	No
44	39	Eutrophic	810	20.8	26.0	8.9	0.5	20.1	60.5	23.29	0.3256	0.07	0.018000000000000002	Yes
46	16	Mesotrophic	600	37.5	6.7	6.9	2.0	18.4	60.1	23.34	0.0016	0.0	0.0	No
1	3	Oligotrophic	310	103.3	1.6	7.4	5.5	18.8	60.1	23.34	0.001	0.0	0.001	Yes
39	9	Oligotrophic	390	43.3	3.2	7.4	3.5	21.0	60.14	23.4	0.1092	0.022	0.005	Yes
65	8	Oligotrophic	1300	162.5	58.0	8.7	0.3	21.5	60.14	23.4	4.297	2.01	1.934	Yes
45	16	Mesotrophic	770	48.1	4.7	6.6	1.7	16.5	62.17	23.44	0.0288	0.0	0.0	No
30	52	Mesotrophic	680	0.7	31.0	7.4	8.0	19.3	60.47	23.45	0.8194	0.14300000000000002	0.168	Yes
61	7	Oligotrophic	340	48.6	2.6	6.1	2.6	21.4	62.03	23.47	0.035	0.0	0.0	No
33	28	Mesotrophic	540	19.3	22.0	6.2	1.2	20.1	62.04	23.49	0.001372	0.0	0.0	No
24	52	Eutrophic	1400	26.9	84.0	10.0	0.9	20.9	61.17	23.5	2.1638	0.08800000000000001	0.024	Yes
41	26	Mesotrophic	880	33.8	12.0	7.7	2.0	19.7	60.12	23.54	0.0391	0.003	0.005	Yes
40	23	Mesotrophic	720	31.3	11.0	7.9	1.7	20.6	60.12	23.54	0.146	0.0	0.0	No
25	17	Mesotrophic	450	26.5	6.9	7.3	2.3	19.5	62.07	23.57	0.3991	0.005	0.0	No
38	12	Mesotrophic	300	25.0	1.2	7.3	5.0	20.3	60.17	24.0	0.012	0.001	0.0	No
58	11	Mesotrophic	390	35.5	3.7	7.4	2.4	18.6	61.16	24.03	0.0528	0.002	0.0	No
57	11	Eutrophic	370	8.0	3.7	7.3	2.8	19.6	61.29	24.05	0.098	0.0	0.0	No
