rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,total_score
1,University of Oxford,20664,11.2,41,46,90.5,99.6,98.4,65.5,96.4,95.4175
2,California Institute of Technology,2240,6.4,30,34,92.1,97.2,97.9,88,82.5,94.5475
3,University of Cambridge,18978,10.9,37,47,91.4,98.7,95.8,59.3,95,94.3775
4,Stanford University,16135,7.3,23,43,92.8,96.4,99.9,66.2,79.5,94.3475
5,Massachusetts Institute of Technology,11247,8.6,34,39,90.5,92.4,99.5,86.9,89,93.5675
6,Princeton University,7983,8.1,25,45,90.3,96.3,98.8,58.6,81.1,93.1675
7,Harvard University,20823,9.2,24,49,89.2,98.6,99.1,47.3,76.3,92.975
8,Yale University,12402,5.4,20,50,92,94.8,97.3,52.4,68.7,91.6925
9,University of Chicago,13833,5.7,28,46,89.1,91.4,96.7,52.7,76,90.1775
10,Imperial College London,16760,11.7,56,38,84.5,87.6,97,69.9,97.1,89.76
11,University of Pennsylvania,20578,6.5,21,52,87.5,90.4,98.2,74,65,89.555
12,Johns Hopkins University,16171,4.5,26,52,81.7,91.4,98.3,91.3,73.2,89.1925
13,"University of California, Berkeley",41081,13.7,17,50,83,90.6,99.2,46.1,70.4,88.2725
13,ETH Zurich,18956,12.5,39,32,81.8,92.8,90.3,56.8,98.2,88.255
15,UCL,32665,10.6,52,57,77.8,88.7,96.1,42.7,96.2,87.0625
16,Columbia University,26586,5.8,37,,85.6,82.6,98.2,44.8,79.3,86.9875
17,"University of California, Los Angeles",41066,9.4,17,54,83.1,88.6,97.3,51.3,64.1,86.79
18,University of Toronto,73370,20.1,21,59,76.6,89.5,93.6,50.5,84.7,85.525
19,Cornell University,22319,9.8,25,49,79.7,86,96.6,37.1,73.4,85.1225
20,Duke University,15309,4.3,19,49,82.4,76.8,97,99.9,61.5,83.97
21,University of Michigan-Ann Arbor,42982,8.3,17,49,79.4,86.1,94.9,47.7,59.2,83.7525
22,Northwestern University,17951,12.8,20,49,74.2,83.8,97.8,78.4,64.1,83.5075
23,Tsinghua University,38783,12,11,34,86.6,94,74.6,100,47.4,82.615
24,Peking University,39575,11.5,15,46,89.1,90,73.2,86.6,59.6,82.325
25,National University of Singapore,30869,17.9,28,51,76.8,90.4,76.9,58.8,95.5,81.8625
26,University of Washington,45692,11.1,16,53,72.2,82.2,98.6,47.5,60.4,81.6175
27,Carnegie Mellon University,13430,13.6,48,41,65.9,82.7,98.2,50.5,80.6,81.3475
27,London School of Economics and Political Science,10570,12.1,71,53,69,83,92.8,35.1,93.2,81.3075
29,New York University,44466,8.9,33,57,76.8,77.5,96.5,38.7,65.4,81.1125
30,University of Edinburgh,29433,12.8,41,60,67.3,74.1,96.4,38.9,93.8,79.3475
31,"University of California, San Diego",33579,13,23,46,62.6,78.9,97.7,90.3,63.7,78.795
32,LMU Munich,34519,34.7,17,61,68.4,77,88.8,100,67.2,77.8
32,University of Melbourne,47385,26.3,46,56,65.9,74.1,89.8,76.3,93.1,77.83
34,University of British Columbia,52108,18.1,32,55,61.5,73.2,92.5,43.8,94.4,76.335
35,University of Hong Kong,18260,18.2,44,54,69.5,77.2,76.6,59.7,98.6,75.8775
36,King’s College London,26057,12.5,44,62,61.3,68.5,94.8,45.6,95.6,75.69
36,The University of Tokyo,25913,10.6,12,,85.9,89.6,60.7,77.4,38.2,75.66
38,École Polytechnique Fédérale de Lausanne,10492,11.4,59,28,66.6,66.3,88.3,66.4,98.6,75.415
38,Georgia Institute of Technology,21372,18.3,27,33,60.2,76.4,90.4,61.6,77.1,75.4225
38,University of Texas at Austin,49165,17.2,10,52,68.2,76.2,93.2,46.6,39.1,75.3775
41,Karolinska Institute,7777,9,20,68,55.4,71.4,96.1,71.2,81.2,74.74
42,McGill University,31294,13,29,58,65,71.9,84.7,42.8,90.4,74.33
43,Technical University of Munich,40472,47.8,27,34,64.6,70.4,85.5,100,72.9,74.1175
44,Heidelberg University,20800,16.1,18,54,67.1,60.3,96.2,54.6,67.5,73.5075
45,KU Leuven,45049,36.3,15,50,58.7,73.9,85.3,99.3,71.8,73.2375
45,Paris Sciences et Lettres – PSL Research University Paris,21298,11.5,26,46,71.6,71.4,77,52.2,78.7,73.2075
47,The Hong Kong University of Science and Technology,10125,22.3,31,,57.4,66.1,89.8,71.9,97.7,73.115
